timestamp,model,arm,event_ticker,market_ticker,title,mid_yes,raw_response,p_yes,error,has_technical,attempts
2026-02-15T04:27:13.498582+00:00,gpt-4o-mini,baseline,KXLALIGAGAME-26FEB06RCCOSA,KXLALIGAGAME-26FEB06RCCOSA-OSA,Celta Vigo vs Osasuna,0.225,0.23,0.23,,False,1
2026-02-15T04:27:13.543907+00:00,gpt-4o-mini,volume,KXSERIEAGAME-26FEB06VERPIS,KXSERIEAGAME-26FEB06VERPIS-TIE,Hellas Verona vs Pisa,0.315,0.34,0.34,,False,1
2026-02-15T04:27:13.558314+00:00,gpt-4o-mini,baseline,KXCS2TOTALMAPS-26FEB01NRGMOUZ,KXCS2TOTALMAPS-26FEB01NRGMOUZ-3,IEM Krakow 2026: NRG vs. MOUZ Total Maps,0.34,0.34,0.34,,False,1
2026-02-15T04:27:13.608981+00:00,gpt-4o-mini,volume,KXLALIGAGAME-26FEB06RCCOSA,KXLALIGAGAME-26FEB06RCCOSA-OSA,Celta Vigo vs Osasuna,0.225,0.25,0.25,,False,1
2026-02-15T04:27:13.683692+00:00,gpt-4o-mini,full_technical,KXLALIGAGAME-26FEB06RCCOSA,KXLALIGAGAME-26FEB06RCCOSA-OSA,Celta Vigo vs Osasuna,0.225,0.24,0.24,,False,1
2026-02-15T04:27:13.687888+00:00,gpt-4o-mini,volume,KXCS2TOTALMAPS-26FEB01NRGMOUZ,KXCS2TOTALMAPS-26FEB01NRGMOUZ-3,IEM Krakow 2026: NRG vs. MOUZ Total Maps,0.34,0.33,0.33,,False,1
2026-02-15T04:27:13.704110+00:00,gpt-4o-mini,baseline,KXSERIEAGAME-26FEB06VERPIS,KXSERIEAGAME-26FEB06VERPIS-TIE,Hellas Verona vs Pisa,0.315,0.32,0.32,,False,1
2026-02-15T04:27:13.898005+00:00,gpt-4o-mini,baseline,KXBUNDESLIGAGAME-26FEB06UNISGE,KXBUNDESLIGAGAME-26FEB06UNISGE-SGE,Union Berlin vs Frankfurt,0.275,0.28,0.28,,False,1
2026-02-15T04:27:13.988542+00:00,gpt-4o-mini,volume,KXBUNDESLIGAGAME-26FEB06UNISGE,KXBUNDESLIGAGAME-26FEB06UNISGE-SGE,Union Berlin vs Frankfurt,0.275,0.3,0.3,,False,1
2026-02-15T04:27:13.990585+00:00,gpt-4o-mini,full_technical,KXBUNDESLIGAGAME-26FEB06UNISGE,KXBUNDESLIGAGAME-26FEB06UNISGE-SGE,Union Berlin vs Frankfurt,0.275,0.28,0.28,,False,1
